iter	Passed	Remaining
376	1472	2433
377	1475	2427
378	1478	2423
379	1481	2417
380	1484	2411
381	1486	2404
382	1488	2398
383	1491	2391
384	1497	2392
385	1500	2386
386	1502	2380
387	1505	2374
388	1507	2368
389	1511	2364
390	1514	2358
391	1516	2352
392	1519	2346
393	1521	2340
394	1528	2340
395	1531	2335
396	1534	2330
397	1536	2324
398	1540	2319
399	1542	2314
400	1545	2308
401	1547	2302
402	1550	2297
403	1553	2292
404	1556	2286
405	1558	2280
406	1560	2273
407	1563	2268
408	1566	2263
409	1569	2259
410	1572	2253
411	1574	2247
412	1577	2241
413	1579	2235
414	1581	2229
415	1584	2224
416	1586	2218
417	1588	2212
418	1591	2206
419	1593	2200
420	1595	2194
421	1598	2188
422	1600	2183
423	1602	2177
424	1604	2171
425	1606	2164
426	1608	2158
427	1610	2152
428	1612	2146
429	1614	2140
430	1617	2135
431	1619	2129
432	1621	2123
433	1623	2116
434	1625	2111
435	1628	2106
436	1630	2100
437	1632	2095
438	1634	2089
439	1636	2083
440	1638	2077
441	1640	2071
442	1643	2066
443	1645	2060
444	1647	2054
445	1649	2049
446	1651	2042
447	1653	2036
448	1654	2030
449	1657	2025
450	1659	2019
451	1661	2014
452	1663	2009
453	1665	2003
454	1667	1997
455	1669	1991
456	1672	1986
457	1674	1981
458	1676	1975
459	1678	1970
460	1680	1964
461	1682	1959
462	1684	1953
463	1687	1949
464	1690	1944
465	1692	1939
466	1694	1934
467	1696	1928
468	1698	1923
469	1701	1918
470	1703	1913
471	1706	1908
472	1708	1903
473	1709	1897
474	1711	1891
475	1712	1885
476	1714	1879
477	1716	1874
478	1719	1870
479	1721	1864
480	1723	1859
481	1724	1853
482	1726	1848
483	1728	1842
484	1729	1836
485	1732	1832
486	1735	1827
487	1737	1822
488	1739	1817
489	1741	1812
490	1743	1807
491	1746	1803
492	1749	1799
493	1752	1794
494	1754	1789
495	1755	1784
496	1757	1778
497	1759	1773
498	1761	1768
499	1764	1764
500	1767	1760
501	1769	1755
502	1771	1750
503	1773	1745
504	1776	1741
505	1779	1737
506	1781	1732
507	1783	1726
508	1784	1721
509	1786	1716
510	1788	1711
511	1790	1706
512	1793	1702
513	1795	1698
514	1797	1693
515	1799	1687
516	1801	1682
517	1803	1677
518	1805	1672
519	1807	1668
520	1809	1663
521	1812	1659
522	1813	1654
523	1815	1649
524	1817	1644
525	1819	1639
526	1822	1635
527	1824	1631
528	1827	1626
529	1829	1622
530	1831	1617
531	1833	1612
532	1835	1607
533	1838	1604
534	1841	1600
535	1843	1595
536	1844	1590
537	1846	1585
538	1848	1580
539	1850	1575
540	1852	1572
541	1855	1567
542	1857	1563
543	1859	1558
544	1861	1553
545	1862	1549
546	1864	1544
547	1867	1540
548	1869	1535
549	1872	1531
550	1873	1526
551	1875	1522
552	1877	1517
553	1879	1512
554	1881	1508
555	1884	1504
556	1886	1500
557	1888	1495
558	1889	1490
559	1892	1486
560	1893	1482
561	1896	1478
562	1899	1474
563	1901	1470
564	1903	1465
565	1905	1461
566	1907	1456
567	1909	1452
568	1912	1448
569	1915	1445
570	1918	1441
571	1920	1436
572	1922	1432
573	1924	1428
574	1926	1424
575	1929	1420
576	1932	1416
577	1934	1412
578	1935	1407
579	1937	1403
580	1939	1398
581	1941	1394
582	1944	1390
583	1946	1386
584	1948	1382
585	1950	1377
586	1952	1373
587	1953	1369
588	1955	1364
589	1958	1360
590	1960	1356
591	1962	1352
592	1964	1347
593	1965	1343
594	1967	1339
595	1969	1334
596	1971	1330
597	1974	1327
598	1976	1322
599	1977	1318
600	1979	1314
601	1981	1309
602	1983	1305
603	1984	1301
604	1987	1297
605	1989	1293
606	1991	1289
607	1993	1285
608	1995	1280
609	1996	1276
610	1998	1272
611	2000	1268
612	2004	1265
613	2006	1261
614	2008	1257
615	2010	1253
616	2012	1249
617	2014	1244
618	2016	1241
619	2018	1237
620	2021	1233
621	2023	1229
622	2025	1225
623	2027	1221
624	2029	1217
625	2031	1213
626	2033	1209
627	2035	1205
628	2037	1202
629	2040	1198
630	2042	1194
631	2043	1190
632	2045	1185
633	2048	1182
634	2050	1178
635	2052	1174
636	2054	1170
637	2056	1166
638	2057	1162
639	2059	1158
640	2061	1154
641	2064	1151
642	2066	1147
643	2068	1143
644	2070	1139
645	2071	1135
646	2073	1131
647	2075	1127
648	2077	1123
649	2080	1120
650	2082	1116
651	2084	1112
652	2085	1108
653	2087	1104
654	2089	1100
655	2091	1096
656	2094	1093
657	2096	1089
658	2098	1085
659	2100	1081
660	2101	1077
661	2103	1074
662	2105	1070
663	2108	1066
664	2110	1063
665	2113	1059
666	2115	1055
667	2117	1052
668	2119	1048
669	2122	1045
670	2124	1041
671	2126	1038
672	2129	1034
673	2131	1030
674	2133	1027
675	2136	1023
676	2139	1020
677	2142	1017
678	2144	1014
679	2146	1010
680	2148	1006
681	2150	1002
682	2153	999
683	2157	996
684	2159	992
685	2160	989
686	2162	985
687	2164	981
688	2167	978
689	2168	974
690	2170	970
691	2172	966
692	2173	963
693	2175	959
694	2177	955
695	2179	952
696	2182	948
697	2184	945
698	2185	941
699	2187	937
700	2189	933
701	2190	930
702	2193	926
703	2196	923
704	2198	919
705	2200	916
706	2202	912
707	2204	909
708	2206	905
709	2208	902
710	2210	898
711	2212	895
712	2214	891
713	2216	887
714	2218	884
715	2220	880
716	2222	877
717	2225	874
718	2227	870
719	2230	867
720	2232	863
721	2234	860
722	2236	856
723	2238	853
724	2240	849
725	2243	846
726	2245	843
727	2247	839
728	2249	836
729	2251	832
730	2253	829
731	2256	826
732	2258	822
733	2260	819
734	2261	815
735	2263	812
736	2265	808
737	2267	805
738	2270	801
739	2272	798
740	2274	795
741	2276	791
742	2278	788
743	2280	784
744	2282	781
745	2284	777
746	2287	774
747	2288	771
748	2290	767
749	2293	764
750	2295	760
751	2296	757
752	2299	754
753	2301	750
754	2303	747
755	2305	744
756	2307	740
757	2309	737
758	2311	733
759	2314	730
760	2316	727
761	2318	724
762	2320	720
763	2323	717
764	2324	714
765	2326	710
766	2329	707
767	2331	704
768	2335	701
769	2336	698
770	2338	694
771	2340	691
772	2342	687
773	2344	684
774	2346	681
775	2349	678
776	2350	674
777	2352	671
778	2354	667
779	2356	664
780	2358	661
781	2360	658
782	2363	655
783	2365	651
784	2367	648
785	2369	645
786	2370	641
787	2372	638
788	2374	635
789	2377	632
790	2379	628
791	2381	625
792	2383	622
793	2385	618
794	2386	615
795	2389	612
796	2391	609
797	2393	605
798	2395	602
799	2398	599
800	2401	596
801	2403	593
802	2406	590
803	2407	587
804	2409	583
805	2411	580
806	2413	577
807	2414	573
808	2416	570
809	2418	567
810	2421	564
811	2423	560
812	2425	557
813	2426	554
814	2428	551
815	2430	548
816	2432	544
817	2434	541
818	2436	538
819	2438	535
820	2440	532
821	2442	528
822	2443	525
823	2445	522
824	2447	519
825	2450	516
826	2452	513
827	2454	509
828	2457	506
829	2458	503
830	2460	500
831	2462	497
832	2465	494
833	2467	491
834	2470	488
835	2472	484
836	2474	481
837	2475	478
838	2478	475
839	2481	472
840	2483	469
841	2485	466
842	2488	463
843	2490	460
844	2493	457
845	2496	454
846	2498	451
847	2500	448
848	2503	445
849	2506	442
850	2510	439
851	2513	436
852	2517	433
853	2519	430
854	2522	427
855	2525	424
856	2527	421
857	2530	418
858	2532	415
859	2535	412
860	2538	409
861	2541	406
862	2543	403
863	2546	400
864	2548	397
865	2550	394
866	2554	391
867	2556	388
868	2559	385
869	2561	382
870	2563	379
871	2567	376
872	2570	373
873	2573	370
874	2575	367
875	2577	364
876	2580	361
877	2583	358
878	2585	355
879	2588	352
880	2590	349
881	2592	346
882	2594	343
883	2597	340
884	2600	337
885	2602	334
886	2605	331
887	2607	328
888	2609	325
889	2612	322
890	2615	320
891	2618	316
892	2620	313
893	2622	310
894	2624	307
895	2628	305
896	2631	302
897	2633	299
898	2635	296
899	2638	293
900	2641	290
901	2643	287
902	2646	284
903	2648	281
904	2651	278
905	2653	275
906	2656	272
907	2658	269
908	2661	266
909	2663	263
910	2666	260
911	2668	257
912	2672	254
913	2674	251
914	2677	248
915	2679	245
916	2681	242
917	2684	239
918	2687	236
919	2690	233
920	2692	230
921	2694	227
922	2696	224
923	2698	221
924	2701	219
925	2704	216
926	2706	213
927	2708	210
928	2711	207
929	2713	204
930	2716	201
931	2718	198
932	2721	195
933	2723	192
934	2725	189
935	2727	186
936	2730	183
937	2734	180
938	2736	177
939	2739	174
940	2741	171
941	2748	169
942	2751	166
943	2753	163
944	2755	160
945	2760	157
946	2763	154
947	2766	151
948	2768	148
949	2771	145
950	2775	142
951	2778	140
952	2780	137
953	2782	134
954	2785	131
955	2789	128
956	2792	125
957	2794	122
958	2796	119
959	2798	116
960	2801	113
961	2803	110
962	2806	107
963	2809	104
964	2811	101
965	2813	99
966	2815	96
967	2818	93
968	2821	90
969	2823	87
970	2826	84
971	2828	81
972	2830	78
973	2832	75
974	2836	72
975	2838	69
976	2840	66
977	2842	63
978	2845	61
979	2847	58
980	2851	55
981	2854	52
982	2856	49
983	2858	46
984	2863	43
985	2866	40
986	2868	37
987	2871	34
988	2873	31
989	2876	29
990	2878	26
991	2882	23
992	2884	20
993	2887	17
994	2890	14
995	2893	11
996	2897	8
997	2900	5
998	2903	2
999	2906	0
